scope,term,early_count,late_count,early_share_per_1000,late_share_per_1000,delta_share_per_1000,growth_ratio,direction,score,total_docs,early_period,late_period
All AI,programming language,153082,76042,134.48749057774046,80.04429478346819,-54.44319579427227,0.5966796955683982,fading,671.9391738774949,229124,2000-2019,2020-2025
All AI,semantic web,87120,27850,76.5377391145448,29.315820332442456,-47.22191878210235,0.3870287559725802,fading,550.2503487051368,114970,2000-2019,2020-2025
All AI,web ontology,85215,26853,74.86413497068338,28.266345543521624,-46.59778942716176,0.3816980789962191,fading,541.786441448659,112068,2000-2019,2020-2025
All AI,cryptography,151157,99080,132.79631578669938,104.29484662615434,-28.501469160545042,0.7861796180011977,fading,354.2780426154414,250237,2000-2019,2020-2025
All AI,fuzzy logic,56216,17004,49.387575092553384,17.898966209438115,-31.48860888311527,0.3688085896198328,fading,352.7113880315075,73220,2000-2019,2020-2025
All AI,logic reasoning,50968,13139,44.77703727261386,13.830540874253552,-30.94649639836031,0.3165079196319562,fading,342.52586242185475,64107,2000-2019,2020-2025
All AI,reasoning knowledge,50957,13184,44.76737341666506,13.877909345167732,-30.88946407149733,0.31762190425377196,fading,341.9109881643741,64141,2000-2019,2020-2025
All AI,logic programming,43608,10336,38.31103911050356,10.880011452643634,-27.43102765785992,0.29321584047884525,fading,298.8808045720341,53944,2000-2019,2020-2025
All AI,programming type,40990,9577,36.01104139468769,10.081063243224467,-25.92997815146322,0.2898044766470013,fading,280.84951850774087,50567,2000-2019,2020-2025
All AI,web service,34543,4341,30.347143276328296,4.569478494187889,-25.777664782140405,0.16434191162454068,fading,272.4277406500949,38884,2000-2019,2020-2025
All AI,discrete mathematic,56064,24057,49.254038173988064,25.32318455072058,-23.930853623267485,0.5190168576954064,fading,270.21058516725316,80121,2000-2019,2020-2025
All AI,architecture web,32106,3908,28.20615991748824,4.113688540724779,-24.09247137676346,0.1607212024870679,fading,252.77076022836812,36014,2000-2019,2020-2025
All AI,data type,69911,37858,61.41907574881706,39.85056826375607,-21.56850748506099,0.6516661913275886,fading,249.9305719457368,107769,2000-2019,2020-2025
All AI,abstract data,69039,37475,60.65299553178442,39.44740994464205,-21.205585587142373,0.6532371733757389,fading,245.47673029115097,106514,2000-2019,2020-2025
All AI,data compression,39148,11205,34.392784789442146,11.794749257630798,-22.598035531811348,0.352357925336786,fading,244.66516448909942,50353,2000-2019,2020-2025
All AI,logic control,35644,8074,31.314407403567895,8.498956314690858,-22.815451088877037,0.28285789518372895,fading,243.79537117620737,43718,2000-2019,2020-2025
All AI,set abstract,68179,37057,59.89745770305958,39.00740948148366,-20.890048221575917,0.6541237161954636,fading,241.57189570574317,105236,2000-2019,2020-2025
All AI,robotic engineering,37548,10559,32.98713301507034,11.114748541840571,-21.872384473229772,0.34684212997910396,fading,235.81063377611144,48107,2000-2019,2020-2025
All AI,educational robotic,37558,10570,32.99591833866017,11.12632750139737,-21.8695908372628,0.34709684278094705,fading,235.79005940095996,48128,2000-2019,2020-2025
All AI,engineering methodology,29848,3806,26.22243385090603,4.006320006652639,-22.21611384425339,0.16863434041206735,fading,231.57892482991227,33654,2000-2019,2020-2025
All AI,system negotiation,34612,8623,30.407762009098082,9.076851659843852,-21.330910349254232,0.309852640156372,fading,227.69528292049637,43235,2000-2019,2020-2025
All AI,information retrieval,91770,59451,80.62291458381287,62.580065873753554,-18.042848710059317,0.7775862861606361,fading,215.1881115481723,151221,2000-2019,2020-2025
All AI,metaheuristic optimization,46809,21386,41.12322119160615,22.511602643792255,-18.611618547813894,0.552854920522894,fading,207.14994223178726,68195,2000-2019,2020-2025
All AI,world wide,90228,59008,79.26821768626203,62.11374959342062,-17.154468092841412,0.7849460776432038,fading,204.36616905851602,149236,2000-2019,2020-2025
All AI,wide web,90225,59006,79.26558208918509,62.11164432804666,-17.15393776113843,0.7849456205063634,fading,204.35927633168234,149231,2000-2019,2020-2025
All AI,theoretical computer,111854,79614,98.26735848161495,83.80429874136709,-14.463059740247857,0.8535643763021152,fading,175.90669210718883,191468,2000-2019,2020-2025
All AI,coding theory,36832,15555,32.35810384603896,16.373701446001522,-15.984402400037435,0.5135324157798486,fading,173.69343511078569,52387,2000-2019,2020-2025
All AI,advanced computational,29158,8713,25.61624652320819,9.171588601672212,-16.444657921535978,0.3703284311195929,fading,173.35904659069806,37871,2000-2019,2020-2025
All AI,theory cryptography,36743,15518,32.27991446608953,16.334754036583195,-15.945160429506334,0.5135691874363665,fading,173.22861848214518,52261,2000-2019,2020-2025
All AI,sensor network,32900,14652,28.90371461052025,15.423174129656978,-13.480540480863272,0.5415361406058499,fading,145.1800308854319,47552,2000-2019,2020-2025
All AI,problem solving,23619,7328,20.750055786804797,7.713692330202453,-13.036363456602345,0.3865256831609231,fading,134.79682797970992,30947,2000-2019,2020-2025
All AI,fusion sensor,26668,10127,23.428700949342065,10.660011221064444,-12.768689728277621,0.466386004183453,fading,134.2390792007141,36795,2000-2019,2020-2025
All AI,target tracking,26701,10164,23.457692517188487,10.69895863048277,-12.758733886705718,0.4674472978751212,fading,134.1586609114166,36865,2000-2019,2020-2025
